,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
0,Haringey,Private room,35,1,131,1.71,4,262
1,Ealing,Private room,70,2,2,0.07,6,62
2,Islington,Private room,45,1,14,0.14,2,364
5,Tower Hamlets,Entire home/apt,102,5,7,0.07,56,295
6,Barnet,Private room,29,5,114,1.13,3,285
7,Islington,Entire home/apt,150,3,54,0.57,7,350
8,Islington,Entire home/apt,150,2,67,0.71,7,353
9,Tower Hamlets,Private room,50,3,38,0.51,3,69
10,Barnet,Entire home/apt,185,7,1,0.02,2,0
11,Southwark,Private room,64,3,28,1.01,2,0
12,Newham,Private room,34,1,105,1.06,2,345
13,Hounslow,Private room,100,1,3,0.03,2,365
14,Camden,Private room,45,1,163,1.66,2,348
15,Richmond upon Thames,Entire home/apt,195,3,55,0.58,1,267
16,Haringey,Private room,72,2,452,4.7,2,241
17,Hackney,Entire home/apt,75,1,51,0.53,1,24
18,Southwark,Private room,70,2,51,0.52,1,349
20,Tower Hamlets,Entire home/apt,79,2,137,1.43,1,0
21,Hammersmith and Fulham,Private room,62,2,298,3.15,2,294
22,Hammersmith and Fulham,Entire home/apt,296,6,20,0.27,2,12
24,Westminster,Private room,35,3,7,0.14,1,0
26,Barnet,Private room,25,5,77,0.8,3,48
27,Barnet,Entire home/apt,165,4,15,0.2,1,365
28,Hounslow,Private room,49,2,57,0.65,1,179
29,Southwark,Private room,79,1,70,0.77,2,364
30,Waltham Forest,Private room,35,2,2,0.02,1,0
31,Hammersmith and Fulham,Private room,60,2,141,1.44,2,59
32,Barnet,Private room,45,2,430,4.48,2,300
37,Hammersmith and Fulham,Private room,36,2,149,2.41,3,352
38,Brent,Entire home/apt,100,2,87,1.19,1,53
39,Hammersmith and Fulham,Private room,65,7,26,0.42,2,342
40,Hammersmith and Fulham,Private room,55,7,9,0.15,2,331
41,Hackney,Private room,45,5,37,0.41,1,295
42,Camden,Private room,40,3,1,0.03,1,173
43,Westminster,Entire home/apt,120,3,89,0.92,1,13
44,Haringey,Entire home/apt,80,3,61,0.63,1,220
45,Lambeth,Private room,39,2,23,0.27,4,305
46,Hackney,Entire home/apt,69,2,2,0.25,1,52
48,Hammersmith and Fulham,Entire home/apt,75,1,22,2.63,1,239
49,Hackney,Private room,58,3,154,1.6,2,23
50,Camden,Private room,39,3,329,3.43,1,256
51,Westminster,Private room,48,2,96,1.0,2,242
53,Hammersmith and Fulham,Entire home/apt,73,1,66,0.71,5,277
54,Westminster,Entire home/apt,149,2,50,0.69,1,336
55,Westminster,Entire home/apt,125,2,99,1.07,1,63
56,Islington,Entire home/apt,80,3,9,0.13,1,40
57,Lambeth,Private room,55,3,8,0.16,2,342
58,Lambeth,Entire home/apt,85,4,6,0.12,2,281
59,Brent,Private room,125,2,78,0.84,2,362
61,Westminster,Entire home/apt,250,1,67,0.71,3,22
63,Brent,Private room,55,3,68,0.72,2,365
64,Westminster,Private room,75,1,178,1.91,3,358
65,Ealing,Private room,23,4,165,1.92,1,334
68,Hackney,Private room,60,1,52,0.77,2,362
69,Tower Hamlets,Entire home/apt,135,5,10,0.16,56,293
70,Kensington and Chelsea,Private room,55,1,334,3.61,2,286
71,Tower Hamlets,Entire home/apt,115,1,3,0.13,2,0
72,Southwark,Entire home/apt,85,6,174,2.02,3,285
74,Hammersmith and Fulham,Private room,78,1,22,0.24,5,245
75,Westminster,Entire home/apt,160,1,83,0.92,3,16
76,Hackney,Entire home/apt,76,3,30,0.43,1,220
77,Barnet,Private room,23,4,21,0.26,2,342
78,Haringey,Private room,50,1,5,0.07,1,364
79,Camden,Entire home/apt,148,3,48,0.59,12,287
81,Haringey,Private room,80,1,33,0.37,1,298
82,Lambeth,Private room,42,2,138,1.53,1,45
83,Lambeth,Entire home/apt,50,3,54,0.9,1,0
85,Wandsworth,Private room,25,2,11,0.14,1,252
87,Tower Hamlets,Entire home/apt,93,7,68,1.36,1,0
88,Islington,Entire home/apt,227,5,38,0.42,7,330
89,Westminster,Entire home/apt,200,1,20,0.26,3,358
91,Southwark,Private room,32,3,46,1.11,1,43
92,Hackney,Private room,93,1,263,2.93,4,233
93,Merton,Private room,35,1,103,1.45,1,325
95,Westminster,Entire home/apt,140,5,4,0.55,1,318
96,Kensington and Chelsea,Entire home/apt,85,2,13,0.15,1,0
97,Southwark,Private room,56,2,6,0.07,1,221
98,Wandsworth,Entire home/apt,95,2,107,1.23,1,59
99,Lambeth,Entire home/apt,89,2,70,0.79,1,110
